cell,generator,n_questions,mean,ci_lo,ci_hi,ci_width,sd
toon_recursive_256,claude,200,0.9438499999999999,0.9255000000000001,0.9608500000000001,0.03534999999999999,0.12727005079415082
toon_recursive_256,gpt,200,0.8733,0.8426475,0.9006000000000001,0.05795250000000007,0.21772720472736512
toon_recursive_512,claude,200,0.94435,0.9265000000000001,0.9601,0.03359999999999985,0.12277191132769447
toon_recursive_512,gpt,200,0.8847499999999999,0.8556487500000001,0.91290125,0.05725249999999993,0.2062270239981552
toon_semantic_256,claude,200,0.9397,0.920895,0.9575,0.036605,0.13148899871821823
toon_semantic_256,gpt,200,0.87905,0.84935,0.9074500000000001,0.05810000000000004,0.21045678366102796
toon_semantic_512,claude,200,0.9425,0.92474375,0.9590000000000001,0.0342562500000001,0.12428185667867007
toon_semantic_512,gpt,200,0.8809999999999999,0.8527499999999999,0.90825,0.055500000000000105,0.20097501032185405
yaml_fixed_1024,claude,100,0.9586999999999999,0.9384999999999999,0.976,0.03750000000000009,0.0973554873085791
yaml_fixed_1024,gpt,100,0.8428499999999999,0.79735,0.8847512499999999,0.08740124999999987,0.22759419739279096
yaml_fixed_128,claude,100,0.9333999999999998,0.9078999999999999,0.9556999999999999,0.047799999999999954,0.12610096964517975
yaml_fixed_128,gpt,100,0.83195,0.7877000000000001,0.87415125,0.08645124999999998,0.2234473872044264
yaml_fixed_2048,claude,100,0.9335999999999999,0.9068974999999999,0.9582025,0.051305000000000045,0.13288956454002082
yaml_fixed_2048,gpt,100,0.83575,0.787,0.8815000000000001,0.09450000000000003,0.23252715166755528
yaml_fixed_256,claude,200,0.9490999999999999,0.9319962500000001,0.96455125,0.03255499999999989,0.12015981819871291
yaml_fixed_256,gpt,200,0.8961250000000001,0.867121875,0.9228781250000001,0.05575625000000006,0.20685636843182767
yaml_fixed_256_late,claude,200,0.94695,0.92975,0.9623012499999999,0.03255124999999992,0.12149486619838229
yaml_fixed_256_late,gpt,200,0.8845500000000002,0.8523000000000001,0.9140999999999999,0.061799999999999855,0.22468693462897396
yaml_fixed_256_rr,claude,50,0.9625,0.9275,0.99,0.0625,0.11364216126212372
yaml_fixed_256_rr,gpt,50,0.82,0.74,0.89,0.15000000000000002,0.2721794126179664
yaml_fixed_512,claude,200,0.9490999999999999,0.9307,0.96595,0.035250000000000004,0.1255788206705455
yaml_fixed_512,gpt,200,0.890125,0.8603718749999999,0.917875,0.0575031250000001,0.21092786014637718
yaml_recursive_256,claude,200,0.9547,0.9388,0.9691999999999998,0.03039999999999987,0.10849315102390324
yaml_recursive_256,gpt,200,0.8806499999999999,0.8488975,0.9115037500000001,0.06260625000000009,0.22556479085702152
yaml_recursive_512,claude,200,0.95895,0.9440500000000001,0.9725,0.028449999999999975,0.10256213951703406
yaml_recursive_512,gpt,200,0.8909,0.8621000000000001,0.9172499999999999,0.05514999999999981,0.20025659419252076
yaml_semantic_256,claude,200,0.9397,0.92175,0.9563499999999999,0.034599999999999964,0.12721567963788366
yaml_semantic_256,gpt,199,0.8743718592964824,0.8435163316582914,0.9038693467336684,0.06035301507537694,0.21639956125924154
yaml_semantic_512,claude,200,0.9388,0.9203,0.9566,0.0363,0.13177398039654012
yaml_semantic_512,gpt,199,0.8973869346733667,0.8682914572864321,0.9253806532663317,0.05708919597989959,0.19817400279549957
